/**********************WORD COUNT**********************/
@gadgetsstory 5
@gopteens 5
@larryetward 5
@m1ttyc 5
@followbackfest 2
@googleexpertuk 2
@ndo_savage 2
@wrh_mike_rivero 2
@2drj_ 1
@aukendog 1
@chillapertilla 1
@dell 1
@eviti_de 1
@gizmodo 1
@godsheros 1
@haitooom69 1
@jessedayton 1
@lfnnaosnrdoah 1
@libertymenu 1
@mepouerl 1
@myageingparent 1
@nono2357 1
@quotedojo 1
@skysp0rfs1 1
@tarantinohdoe 1
@tarmuthu 1
@theviewmtnview 1
@totalprosource 1
@v_bogatov 1
@wired 1
/******************************************************/

/**********************CITY,STATE**********************/
Austin, TX
Newcastle Upon Tyne, England
Seattle, WA
/******************************************************/

/********************BOUNDING BOXES********************/
-97.9289 30.1279
-97.5805 30.1279
-97.5805 30.5188
-97.9289 30.5188

-1.69379 54.9601
-1.59693 54.9601
-1.59693 55.0241
-1.69379 55.0241

-122.436 47.4953
-122.225 47.4953
-122.225 47.7346
-122.436 47.7346

/******************************************************/

/**********************SUMMARY**********************/
Total words: 3147
Total unique words: 780
Total discarded words: 510

Total authors: 234
Total unique authors: 182
Total discarded authors: 0

Total locations: 3
/******************************************************/
